date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2021-10-14,0.11590090909090908,16800.0,862.0,0.0,16800.0
2021-10-15,0.11590090909090908,,862.0,0.0,16800.0
2021-10-16,0.11590090909090908,,862.0,0.0,16800.0
2021-10-17,0.11590090909090908,,862.0,1.0,16800.0
2021-10-18,0.11590090909090908,,862.0,2.0,16800.0
2021-10-19,0.11590090909090908,16800.0,862.0,2.0,16800.0
2021-10-20,0.11590090909090908,,862.0,6.0,16800.0
2021-10-21,0.11590090909090908,6880.0,862.0,6.0,13493.333333333334
2021-10-22,0.11590090909090908,,862.0,6.0,13493.333333333334
2021-10-23,0.11590090909090908,,862.0,6.0,13493.333333333334
2021-10-24,0.11590090909090908,16000.0,862.0,6.0,14496.0
2021-10-25,0.11590090909090908,,862.0,9.0,13920.0
2021-10-26,0.11590090909090908,46400.0,862.0,8.5,24746.666666666668
2021-10-27,0.11590090909090908,,862.0,8.0,24746.666666666668
2021-10-28,0.11590090909090908,,862.0,9.0,24746.666666666668
2021-10-29,0.11590090909090908,,862.0,5.0,24746.666666666668
2021-10-30,0.11590090909090908,,862.0,5.0,26336.0
2021-10-31,0.11590090909090908,,862.0,5.0,26336.0
2021-11-01,0.11590090909090908,,862.0,5.0,31200.0
2021-11-02,0.11590090909090908,,862.0,5.0,31200.0
2021-11-03,0.11590090909090908,,862.0,6.0,31200.0
2021-11-04,0.11590090909090908,36000.0,862.0,4.5,41200.0
2021-11-05,0.11590090909090908,,862.0,5.0,41200.0
2021-11-06,0.11590090909090908,,862.0,4.0,36000.0
2021-11-07,0.11590090909090908,9200.0,862.0,3.0,22600.0
2021-11-08,0.11590090909090908,,862.0,3.0,22600.0
2021-11-09,0.11590090909090908,3456.0,862.0,3.0,16218.666666666666
2021-11-10,0.11590090909090908,,862.0,5.0,16218.666666666666
2021-11-11,0.11590090909090908,1544.0,862.0,3.5,12550.0
2021-11-12,0.11590090909090908,,862.0,2.0,12550.0
2021-11-13,0.11590090909090908,,862.0,2.0,12550.0
2021-11-14,0.11590090909090908,,862.0,2.0,12550.0
2021-11-15,0.11590090909090908,,862.0,2.0,4733.333333333333
2021-11-16,0.11590090909090908,,862.0,3.0,4733.333333333333
2021-11-17,0.11590090909090908,,862.0,4.0,4733.333333333333
2021-11-18,0.11590090909090908,10800.0,862.0,5.5,5266.666666666667
2021-11-19,0.11590090909090908,,862.0,4.0,5266.666666666667
2021-11-20,0.11590090909090908,,862.0,4.0,6172.0
2021-11-21,0.11590090909090908,2984.0,862.0,4.0,5109.333333333333
2021-11-22,0.11590090909090908,,862.0,4.0,6892.0
2021-11-23,0.11590090909090908,768.0,862.0,4.0,4850.666666666667
2021-11-24,0.11590090909090908,,862.0,3.0,4850.666666666667
2021-11-25,0.11590090909090908,3364.0,862.0,1.5,4479.0
2021-11-26,0.11590090909090908,,862.0,0.0,4479.0
2021-11-27,0.11590090909090908,,862.0,0.0,4479.0
2021-11-28,0.11590090909090908,12800.0,862.0,0.0,6143.2
2021-11-29,0.11590090909090908,,862.0,0.0,4979.0
2021-11-30,0.11590090909090908,30400.0,862.0,0.0,10063.2
2021-12-01,0.11590090909090908,,862.0,0.0,10063.2
2021-12-02,0.11590090909090908,13116.0,862.0,0.0,12089.6
2021-12-03,0.11590090909090908,,862.0,0.0,12089.6
2021-12-04,0.11590090909090908,,862.0,0.0,14920.0
2021-12-05,0.11590090909090908,8340.0,862.0,0.0,13604.0
2021-12-06,0.11590090909090908,,862.0,2.0,16164.0
2021-12-07,0.11590090909090908,3508.0,862.0,5.0,13632.8
2021-12-08,0.11590090909090908,,862.0,7.0,13632.8
2021-12-09,0.11590090909090908,1284.0,862.0,8.5,11329.6
2021-12-10,0.11590090909090908,,862.0,9.0,11329.6
2021-12-11,0.11590090909090908,,862.0,9.0,6562.0
2021-12-12,0.11590090909090908,2524.0,862.0,9.0,5754.4
2021-12-13,0.11590090909090908,,862.0,9.0,3914.0
2021-12-14,0.11590090909090908,5112.0,862.0,6.0,4153.6
2021-12-15,0.11590090909090908,,862.0,3.0,4153.6
2021-12-16,0.11590090909090908,,862.0,2.0,3107.0
2021-12-17,0.11590090909090908,,862.0,1.0,3107.0
2021-12-18,0.11590090909090908,,862.0,0.0,2973.3333333333335
2021-12-19,0.11590090909090908,8264.0,862.0,0.0,4296.0
2021-12-20,0.11590090909090908,,862.0,0.0,5300.0
2021-12-21,0.11590090909090908,,862.0,0.0,5300.0
2021-12-22,0.11590090909090908,,862.0,0.0,5300.0
2021-12-23,0.11590090909090908,400.0,862.0,0.0,4592.0
2021-12-24,0.11590090909090908,,862.0,0.0,4592.0
