date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2021-10-14,0.0174,12000.0,609.0,0.0,12000.0
2021-10-15,0.0296,,609.0,1.0,12000.0
2021-10-16,0.0296,,609.0,1.0,12000.0
2021-10-17,0.0296,10400.0,609.0,1.0,11200.0
2021-10-18,0.0296,,609.0,1.0,11200.0
2021-10-19,0.0174,5248.000000000001,609.0,1.0,9216.0
2021-10-20,0.0296,,609.0,1.0,9216.0
2021-10-21,0.0219,12800.0,609.0,1.0,10112.0
2021-10-22,0.0296,,609.0,1.0,10112.0
2021-10-23,0.0296,,609.0,1.0,10112.0
2021-10-24,0.0141,99600.0,609.0,1.0,39941.333333333336
2021-10-25,0.0296,,609.0,0.0,45529.6
2021-10-26,0.0296,,609.0,0.0,45529.6
2021-10-27,0.0296,,609.0,0.0,45529.6
2021-10-28,0.0296,,609.0,0.0,54312.0
2021-10-29,0.0296,,609.0,1.0,54312.0
2021-10-30,0.0296,,609.0,1.0,70666.66666666667
2021-10-31,0.0296,,609.0,1.0,70666.66666666667
2021-11-01,0.0296,,609.0,1.0,99600.0
2021-11-02,0.0201,29600.0,609.0,2.0,76266.66666666667
2021-11-03,0.0296,,609.0,2.0,76266.66666666667
2021-11-04,0.0252,43600.0,609.0,3.5,38933.333333333336
2021-11-05,0.0296,,609.0,4.0,38933.333333333336
2021-11-06,0.0296,,609.0,4.0,38933.333333333336
2021-11-07,0.0252,5408.0,609.0,3.5,25523.2
2021-11-08,0.0296,,609.0,4.0,25523.2
2021-11-09,0.0296,,609.0,4.0,25523.2
2021-11-10,0.0296,,609.0,5.0,25523.2
2021-11-11,0.027,0.0,609.0,4.0,18230.85714285714
2021-11-12,0.0296,,609.0,3.0,18230.85714285714
2021-11-13,0.0296,,609.0,2.0,16336.0
2021-11-14,0.027,5476.0,609.0,2.0,13621.0
2021-11-15,0.0296,,609.0,2.0,3628.0
2021-11-16,0.0252,6700.0,609.0,1.5,4396.0
2021-11-17,0.0296,,609.0,1.0,4396.0
2021-11-18,0.0296,,609.0,0.0,4058.6666666666665
2021-11-19,0.0296,,609.0,0.0,4058.6666666666665
