date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2022-02-03,0.132,29532.0,1051.0,23.5,33297.0
2022-02-04,0.126,,1051.0,19.0,33297.0
2022-02-05,0.126,,1051.0,13.0,39793.333333333336
2022-02-06,0.153,1696.0,1051.0,11.0,30269.0
2022-02-07,0.126,,1051.0,12.0,31048.0
2022-02-08,0.126,,1051.0,12.0,31048.0
2022-02-09,0.126,,1051.0,12.0,31048.0
2022-02-10,0.126,,1051.0,11.0,15614.0
2022-02-11,0.126,,1051.0,10.0,15614.0
2022-02-12,0.126,,1051.0,8.0,15614.0
2022-02-13,0.126,,1051.0,6.0,15614.0
2022-02-14,0.126,,1051.0,5.0,1696.0
2022-02-15,0.174,6132.0,1051.0,9.5,3914.0
2022-02-16,0.126,,1051.0,11.0,3914.0
2022-02-17,0.186,11060.0,1051.0,10.0,8596.0
2022-02-18,0.126,,1051.0,7.0,8596.0
2022-02-19,0.126,,1051.0,7.0,8596.0
2022-02-20,0.126,,1051.0,7.0,8596.0
2022-02-21,0.126,,1051.0,7.0,8596.0
2022-02-22,0.189,32820.0,1051.0,7.0,16670.666666666668
2022-02-23,0.126,,1051.0,5.0,16670.666666666668
2022-02-24,0.171,5800.0,1051.0,5.0,13953.0
2022-02-25,0.126,,1051.0,6.0,13953.0
2022-02-26,0.126,,1051.0,6.0,16560.0
2022-02-27,0.189,800.0,1051.0,5.0,14308.57142857143
2022-02-28,0.126,,1051.0,5.0,15608.0
2022-03-01,0.255,3616.0,1051.0,5.0,13609.333333333334
2022-03-02,0.126,,1051.0,5.0,13609.333333333334
