date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2021-10-14,0.0694,20800.0,863.0,6.0,20800.0
2021-10-15,0.1058,,863.0,7.0,20800.0
2021-10-16,0.1058,,863.0,7.0,20800.0
2021-10-17,0.1058,24000.0,863.0,7.0,22400.0
2021-10-18,0.1058,,863.0,10.0,22400.0
2021-10-19,0.0658,25600.0,863.0,16.0,23466.666666666668
2021-10-20,0.1058,,863.0,19.0,23466.666666666668
2021-10-21,0.0679,57600.0,863.0,23.0,32000.0
2021-10-22,0.1058,,863.0,26.0,32000.0
2021-10-23,0.1058,,863.0,26.0,32000.0
2021-10-24,0.1058,,863.0,26.0,32000.0
2021-10-25,0.1058,,863.0,21.0,35733.333333333336
2021-10-26,0.0693,80000.0,863.0,26.0,53440.0
2021-10-27,0.1058,,863.0,31.0,53440.0
2021-10-28,0.0811,30800.0,863.0,25.0,50800.0
2021-10-29,0.1058,,863.0,19.0,50800.0
2021-10-30,0.1058,,863.0,15.0,55840.0
2021-10-31,0.0792,5076.0,863.0,12.0,41336.0
2021-11-01,0.1058,,863.0,13.0,38625.333333333336
2021-11-02,0.0901,196400.0,863.0,13.0,78069.0
2021-11-03,0.1058,,863.0,9.0,78069.0
2021-11-04,0.0743,4268.0,863.0,6.0,63308.8
2021-11-05,0.1058,,863.0,6.0,63308.8
2021-11-06,0.1058,,863.0,6.0,59136.0
2021-11-07,0.0812,3924.0,863.0,6.0,48093.6
2021-11-08,0.1058,,863.0,6.0,52417.0
2021-11-09,0.084,1052.0,863.0,4.0,42144.0
2021-11-10,0.1058,,863.0,1.0,42144.0
2021-11-11,0.0901,784.0,863.0,0.0,41285.6
2021-11-12,0.1058,,863.0,1.0,41285.6
2021-11-13,0.1058,,863.0,1.0,2507.0
2021-11-14,0.1058,,863.0,1.0,2507.0
2021-11-15,0.1058,,863.0,1.0,1920.0
2021-11-16,0.1058,,863.0,1.0,1920.0
2021-11-17,0.1058,,863.0,2.0,1920.0
2021-11-18,0.1058,,863.0,2.0,918.0
2021-11-19,0.1058,,863.0,2.0,918.0
2021-11-20,0.1058,,863.0,2.0,784.0
2021-11-21,0.1058,,863.0,2.0,784.0
2021-11-22,0.1058,,863.0,3.0,NaN
2021-11-23,0.1058,3756.0,863.0,2.0,3756.0
2021-11-24,0.1058,,863.0,3.0,3756.0
2021-11-25,0.105,1832.0,863.0,3.0,2794.0
2021-11-26,0.1058,,863.0,2.0,2794.0
2021-11-27,0.1058,,863.0,2.0,2794.0
2021-11-28,0.1058,,863.0,2.0,2794.0
2021-11-29,0.1058,,863.0,2.0,2794.0
2021-11-30,0.1063,18800.0,863.0,1.5,8129.333333333333
2021-12-01,0.1058,,863.0,2.0,8129.333333333333
2021-12-02,0.1095,5640.0,863.0,9.0,7507.0
2021-12-03,0.1058,,863.0,11.0,7507.0
2021-12-04,0.1058,,863.0,11.0,8757.333333333334
2021-12-05,0.108,15200.0,863.0,11.0,10368.0
2021-12-06,0.1058,,863.0,12.0,13213.333333333334
2021-12-07,0.1094,5372.0,863.0,13.5,11253.0
2021-12-08,0.1058,,863.0,15.0,11253.0
2021-12-09,0.101,2300.0,863.0,11.5,9462.4
2021-12-10,0.1058,,863.0,5.0,9462.4
2021-12-11,0.1058,,863.0,5.0,7128.0
2021-12-12,0.1238,2016.0,863.0,5.0,6560.0
2021-12-13,0.1058,,863.0,5.0,6822.857142857143
2021-12-14,0.1025,0.0,863.0,4.5,5306.666666666667
2021-12-15,0.1058,,863.0,3.0,5306.666666666667
2021-12-16,0.1021,2992.0,863.0,1.5,2593.777777777778
2021-12-17,0.1058,,863.0,1.0,2593.777777777778
2021-12-18,0.1058,,863.0,1.0,1800.0
2021-12-19,0.0983,3140.0,863.0,0.0,2097.777777777778
2021-12-20,0.1058,,863.0,4.0,2040.0
2021-12-21,0.0992,0.0,863.0,4.0,1586.6666666666667
2021-12-22,0.1058,,863.0,4.0,1586.6666666666667
2021-12-23,0.0998,31200.0,863.0,4.0,7466.4
2021-12-24,0.1058,,863.0,4.0,7466.4
2021-12-25,0.1058,,863.0,4.0,9333.0
2021-12-26,0.098,10000.0,863.0,4.0,9466.4
2021-12-27,0.1058,,863.0,4.0,11085.0
2021-12-28,0.1058,,863.0,1.0,11085.0
2021-12-29,0.1058,,863.0,1.0,11085.0
2021-12-30,0.1058,,863.0,1.0,13733.333333333334
2021-12-31,0.1058,,863.0,1.0,13733.333333333334
2022-01-01,0.1058,,863.0,1.0,20600.0
2022-01-02,0.0984,3336.0,863.0,1.0,14845.333333333334
2022-01-03,0.1058,,863.0,2.0,6668.0
2022-01-04,0.1012,32000.0,863.0,2.0,15112.0
2022-01-05,0.1058,,863.0,2.0,15112.0
2022-01-06,0.1058,32000.0,863.0,2.5,22445.333333333332
2022-01-07,0.1058,,863.0,4.0,22445.333333333332
2022-01-08,0.1058,,863.0,4.0,22445.333333333332
2022-01-09,0.1147,3660.0,863.0,4.0,17749.0
2022-01-10,0.1058,,863.0,6.0,17749.0
2022-01-11,0.1208,9032.0,863.0,5.0,16005.6
2022-01-12,0.1058,,863.0,6.0,16005.6
2022-01-13,0.1759,0.0,863.0,13.0,17042.666666666668
2022-01-14,0.1058,,863.0,13.0,17042.666666666668
2022-01-15,0.1058,,863.0,12.0,12769.142857142857
